LKQ code;IC - konkurenční kód;Název;oe;Typ auta;Výskyt registrovaných aut na trhu;EAN;Odhad prodeje 2026
ST-ABA14780;5502-00-0068943MP;absorber předního nárazníku;51118098671;BMW | 5 (G30, F90) [09\16-] | 518 d Mild-Hybrid (1995ccm\100kW\136HP) [07\20-06\23];1156;33-7015;9
ST-ABA17220;5502-00-1307981P;absorber zadního nárazníku;850902944R;DACIA | SANDERO III [01\21-] | 1.0 SCe 65 (999ccm\49kW\67HP) [01\21-];501;P2-DA-SAN5-W1;8
ST-ABA28890-1;5502-00-3522940P;držák předního nárazníku;2058855902;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | AMG C 43 4-matic (205.064) (2996ccm\287kW\390HP) [05\18-05\21];171;23-7034;1
ST-ABA34650;5502-00-5547980P;absorber zadního nárazníku;9811280580;PEUGEOT | 3008 II SUV (MC_, MR_, MJ_, M4_) [05\16-] | 1.2 THP/ PureTech 130 (MRHNSM, MRHNSU, MRHNSJ, MRHNYW,... (1199ccm\96kW\131HP) [05\16-];2062;P2-300817-W;41
ST-ABA34700;5504-00-5517940P;absorber předního nárazníku;9814133480;PEUGEOT | 2008 I (CU_) [03\13-] | 1.2 PureTech 82 (1199ccm\61kW\82HP) [01\18-12\19];10589;P1-200816-W1;296
ST-ABA34770;5502-00-0559942P;absorber předního nárazníku;9811839880;CITROËN | JUMPY dodávka (V_) [04\16-] | 1.5 BlueHDi 100 (1499ccm\75kW\102HP) [06\18-];16645;PG0709-017AA;466
ST-ABA36740;5502-00-5089980P;absorber zadního nárazníku;4423756;FIAT | TALENTO bus (296_) [06\16-] | 1.6 D (1598ccm\107kW\145HP) [06\16-];5418;100.17345;130
ST-ABA42750-1;6502-08-9568209P;absorber předního nárazníku;7E0805962A;VOLKSWAGEN | CALIFORNIA T6 Camper (SGC, SGG, SHC) [04\15-08\24] | 2.0 TDI (1968ccm\103kW\140HP) [04\15-12\19];14304;WW0811-017AA;401
ST-ABA84790-L;5502-00-1601943P;L držák výztuhy předního nárazníku;G51151KEMA;NISSAN | JUKE (F15) [06\10-12\19] | 1.2 DIG-T (1197ccm\85kW\115HP) [05\14-12\19];6643;DS5A19BL;159
ST-ABA84790-R;5502-00-1601944P;P držák výztuhy předního nárazníku;G51141KEMA;NISSAN | JUKE (F15) [06\10-12\19] | 1.2 DIG-T (1197ccm\85kW\115HP) [05\14-12\19];6643;DS5A19BR;159
ST-ABB12620-L;5504-00-0032931P;L držák předního nárazníku;4G0807283;AUDI | A6 Allroad C7 (4GH, 4GJ) [01\12-09\18] | 3.0 TDI quattro (2967ccm\150kW\204HP) [01\12-12\14];6290;UAE05-28111;75
ST-ABB14560-4L;6502-07-00639911KP;L přední brzdové vzduchové vedení;51748054229;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];3503;33-6901L;35
ST-ABB14560-4R;6502-07-00639912KP;P přední brzdové vzduchové vedení;51748054230;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];3503;33-6901R;35
ST-ABB14560-5L;5502-00-0086943P;L držák předního nárazníku;51117266193;BMW | 1 (F20) [07\11-06\19] | 114 d (1496ccm\70kW\95HP) [07\15-06\19];7909;BMT456Q2L;95
ST-ABB14560-5R;5502-00-0086944P;P držák předního nárazníku - hlíníkový;51117266194;BMW | 1 (F20) [07\11-06\19] | 114 d (1496ccm\70kW\95HP) [07\15-06\19];7909;BMT456Q2R;95
ST-ABB14560-6L;5513-00-0063931P;L držák nárazníku;51118054163;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];3503;33-7113L;35
ST-ABB14560-6R;5513-00-0063930P;P držák nárazníku;51118054164;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];3503;33-7113R;35
ST-ABB14570;5503-05-0063961P;držák předního nárazníku;51117445076;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];4530;33-9410;45
ST-ABB14570-1;5503-05-0063965P;P+L sada držáků zadního nárazníku;51127445146;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];3236;33-9413;32
ST-ABB14580-1;5503-05-0064965P;P+L sada držáků zadního nárazníku;51125A697D0;BMW | 3 (G20, G80, G28) [11\18-] | 316 d (1995ccm\85kW\116HP) [11\20-];711;BM99368A;6
ST-ABB14580-2;6508-06-0064930P;držák zadního nárazníku;51128069392;BMW | 3 (G20, G80, G28) [11\18-] | 318 d (1995ccm\100kW\136HP) [03\19-03\20];422;33-7012;2
ST-ABB14580-2L;5703-05-0064971MP;L držák nárazníku;51128075815;BMW | 3 (G20, G80, G28) [11\18-] | 316 d (1995ccm\90kW\122HP) [03\20-07\20];785;33-7463L;6
ST-ABB14580-2R;5703-05-0064972MP;P držák nárazníku;51128075816;BMW | 3 (G20, G80, G28) [11\18-] | 316 d (1995ccm\90kW\122HP) [03\20-07\20];785;33-7463R;6
ST-ABB14580-3L;5502-00-0064943P;L držák nárazníku;51118069347;BMW | 3 (G20, G80, G28) [11\18-] | 318 d (1995ccm\100kW\136HP) [03\19-03\20];639;33-7132L;5
ST-ABB14580-3R;5502-00-0064942P;P držák nárazníku;51118069348;BMW | 3 (G20, G80, G28) [11\18-] | 318 d (1995ccm\100kW\136HP) [03\19-03\20];639;33-7132R;5
ST-ABB14580-L;5502-00-0064981MP;L držák nárazníku;51128069393;BMW | 3 (G20, G80, G28) [11\18-] | 318 d (1995ccm\100kW\136HP) [03\19-03\20];639;33-6812L;5
ST-ABB14580-R;5502-00-0064982MP;P držák nárazníku;51128069394;BMW | 3 (G20, G80, G28) [11\18-] | 318 d (1995ccm\100kW\136HP) [03\19-03\20];639;33-6812R;5
ST-ABB14680;6502-07-0063999P;držák nárazníku;51747255414;BMW | 3 (F30, F80) [11\11-10\18] | 316 d (1995ccm\85kW\116HP) [03\12-10\18];4774;33-6902;48
ST-ABB14680-1L;5504-00-0086931P;L držák nárazníku;51117371739;BMW | 1 (F20) [07\11-06\19] | 114 d (1496ccm\70kW\95HP) [07\15-06\19];2121;BM0104-004AL;21
ST-ABB14680-1R;5504-00-0086932P;P držák nárazníku;51117371740;BMW | 1 (F20) [07\11-06\19] | 114 d (1496ccm\70kW\95HP) [07\15-06\19];2121;BM0104-004AR;21
ST-ABB14680-L;5502-00-0086981MP;L držák nárazníku;51127371753;BMW | 1 (F20) [07\11-06\19] | 114 d (1496ccm\70kW\95HP) [07\15-06\19];1198;BM0104-028AL;10
ST-ABB14680-R;5502-00-0086982MP;P držák nárazníku;51127371754;BMW | 1 (F20) [07\11-06\19] | 114 d (1496ccm\70kW\95HP) [07\15-06\19];1198;BM0104-028AR;10
ST-ABB14720-L;6508-06-0082935P;L držák zadního nárazníku;51127332317;BMW | X1 (F48) [11\14-12\22] | sDrive 16 d (1496ccm\85kW\116HP) [11\14-05\22];3385;BM061087U-1L00;34
ST-ABB14780-1L;6508-06-0068932P;L držák nárazníku;51128066721;BMW | 5 (G30, F90) [09\16-] | 520 d (1995ccm\120kW\163HP) [09\16-06\23];1520;33-7323L;12
ST-ABB14780-3L;5504-00-0068933P;L držák nárazníku;51117385347;BMW | 5 (G30, F90) [09\16-] | 520 d (1995ccm\120kW\163HP) [09\16-06\23];2839;33-7324L;28
ST-ABB14780-3R;5504-00-0068934P;P držák nárazníku;51117385348;BMW | 5 (G30, F90) [09\16-] | 520 d (1995ccm\120kW\163HP) [09\16-06\23];2839;33-7324R;28
ST-ABB14780-L;5504-00-0068931P;L držák nárazníku;51117385349;BMW | 5 (G30, F90) [09\16-] | 518 d (1995ccm\100kW\136HP) [07\18-06\20];3417;33-7322L;34
ST-ABB14780-R;5504-00-0068932P;P držák nárazníku;51117385350;BMW | 5 (G30, F90) [09\16-] | 518 d (1995ccm\100kW\136HP) [07\18-06\20];3417;33-7322R;34
ST-ABB14790-L;5504-00-0073931P;L držák nárazníku;51117459727;BMW | 1 (F40) [07\19-] | 116 d (1496ccm\85kW\116HP) [07\19-];165;BM0105-004AL;1
ST-ABB14790-R;5504-00-0073932P;P držák nárazníku;51117459728;BMW | 1 (F40) [07\19-] | 116 d (1496ccm\85kW\116HP) [07\19-];141;BM0105-004AR;1
ST-ABB16670-1;5504-00-0532937P;P+L sada držáků zadního nárazníku;1631805580;CITROËN | C3 AIRCROSS II (2R_, 2C_) [06\17-] | 1.2 Puretech 110 (2RHNZB, 2RHNZW, 2RHNPX, 2RHNPJ) (1199ccm\81kW\110HP) [06\17-];1053;PT-C3A17;17
ST-ABB16750-1;5703-05-0533918P;P+L sada držáků předního nárazníku;1634612680;CITROËN | C3 AIRCROSS II (2R_, 2C_) [06\17-] | 1.2 Puretech 110 (2RHNZB, 2RHNZW, 2RHNPX, 2RHNPJ) (1199ccm\81kW\110HP) [06\17-];1053;PK-C3A21;17
ST-ABB20106-1L;5504-00-2594931P;L držák předního nárazníku;2089999;FORD | ECOSPORT [09\11-12\22] | 1.0 EcoBoost (998ccm\103kW\140HP) [03\16-];1139;1066312;18
ST-ABB20106-1R;5504-00-2594932P;P držák předního nárazníku;2089997;FORD | ECOSPORT [09\11-12\22] | 1.0 EcoBoost (998ccm\103kW\140HP) [03\16-];1139;1066311;18
ST-ABB20800;5502-00-2537941P;držák předního nárazníku;2195767;FORD | FOCUS IV (HN) [01\18-] | 1.0 EcoBoost (998ccm\63kW\85HP) [05\18-];2088;1058305;42
ST-ABB20800-1L;6508-06-2537937P;L držák zadního nárazníku;2200004;FORD | FOCUS IV (HN) [01\18-] | 1.0 EcoBoost (998ccm\63kW\85HP) [05\18-];511;FD064087U-0L00;8
ST-ABB20800-1R;6508-06-2537938P;P držák zadního nárazníku;2213589;FORD | FOCUS IV (HN) [01\18-] | 1.0 EcoBoost (998ccm\63kW\85HP) [05\18-];511;FD064087U-0R00;8
ST-ABB20800-2L;6508-06-2537939P;L držák zadního nárazníku;2438505;FORD | FOCUS IV (HN) [01\18-] | 1.0 EcoBoost (998ccm\63kW\85HP) [05\18-];547;FD064087U-1L00;9
ST-ABB20800-2R;6508-06-2537940P;P držák zadního nárazníku;2438509;FORD | FOCUS IV (HN) [01\18-] | 1.0 EcoBoost (998ccm\63kW\85HP) [05\18-];547;FD064087U-1R00;9
ST-ABB28101-L;6508-06-3522931P;L držák zadního nárazníku;2068854704;MERCEDES-BENZ | C-CLASS (W206) [03\21-] | AMG C 43 4-matic (206.087) (1991ccm\310kW\421HP) [04\24-];31;BZ43118DL;1
ST-ABB28101-R;6508-06-3522932P;P držák zadního nárazníku;2068854804;MERCEDES-BENZ | C-CLASS (W206) [03\21-] | AMG C 43 4-matic (206.087) (1991ccm\310kW\421HP) [04\24-];31;BZ43118DR;1
ST-ABB28170;6502-03-3521201P;držák předního nárazníku;2058851165;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | C 160 (205.044) (1595ccm\95kW\129HP) [04\15-11\19];4189;23-6824;42
ST-ABB28170-1L;5504-00-3521931P;L držák nárazníku;2058850821;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | C 160 (205.044) (1595ccm\95kW\129HP) [04\15-11\19];6334;23-6821L;76
ST-ABB28170-1R;5504-00-3521932P;P držák nárazníku;2058850921;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | C 160 (205.044) (1595ccm\95kW\129HP) [04\15-11\19];4189;23-6821R;42
ST-ABB28170-2L;6508-06-3521933P;L držák zadního nárazníku - AMG;2058800503;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | C 160 (205.044) (1595ccm\95kW\129HP) [04\15-11\19];1936;BZ43066GL;15
ST-ABB28170-2R;6508-06-3521934P;P držák zadního nárazníku - AMG;2058800603;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | C 160 (205.044) (1595ccm\95kW\129HP) [04\15-11\19];1936;BZ43066GR;15
ST-ABB28690;5502-00-3570940P;držák předního nárazníku - hlíníkový;1776202300;MERCEDES-BENZ | A-CLASS (W177) [03\18-] | A 160 (177.082) (1332ccm\80kW\109HP) [06\18-];761;BZT340Q2;6
ST-ABB28690-1L;5502-00-3570943P;L konzola podpěry předního nárazníku;1778851700;MERCEDES-BENZ | A-CLASS (W177) [03\18-] | A 160 (177.082) (1332ccm\80kW\109HP) [06\18-];897;23-6894L;7
ST-ABB28790-2L;5502-00-3529949P;L držák nárazníku;2128853765;MERCEDES-BENZ | E-CLASS (W212) [01\09-12\16] | E 180 (212.040) (1595ccm\115kW\156HP) [08\13-12\15];2143;23-6813L;21
ST-ABB28790-2R;5502-00-3529950P;P držák nárazníku;2128853865;MERCEDES-BENZ | E-CLASS (W212) [01\09-12\16] | E 180 (212.040) (1595ccm\115kW\156HP) [08\13-12\15];2143;23-6813R;21
ST-ABB28790-3L;6508-05-3529381P;L držák nárazníku;2128810106;MERCEDES-BENZ | E-CLASS (W212) [01\09-12\16] | E 200 NGT (212.035) (1991ccm\115kW\156HP) [07\13-12\15];565;23-6829L;5
ST-ABB28790-3R;6508-05-3529382P;P držák nárazníku;2128810206;MERCEDES-BENZ | E-CLASS (W212) [01\09-12\16] | E 200 NGT (212.035) (1991ccm\115kW\156HP) [07\13-12\15];565;23-6829R;5
ST-ABB28840;5502-00-3507941P;přední držák nárazníku;1768851265;MERCEDES-BENZ | A-CLASS (W176) [06\12-05\18] | A 160 (176.041) (1595ccm\75kW\102HP) [07\15-05\18];2420;BZ43058B;24
ST-ABB28890-1;5502-00-3521941P;držák nárazníku;2058853365;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | C 160 (205.044) (1595ccm\95kW\129HP) [04\15-11\19];3078;23-7009;31
ST-ABB28890-2L;6508-06-3521941P;L držák nárazníku;2058852923;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | AMG C 43 4-matic (205.064) (2996ccm\270kW\367HP) [04\16-05\18];2230;23-7204L;22
ST-ABB28890-2R;6508-06-3521942P;P držák nárazníku;2058853023;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | AMG C 43 4-matic (205.064) (2996ccm\270kW\367HP) [04\16-05\18];2230;23-7204R;22
ST-ABB28890-3L;5504-00-3522931P;L držák nárazníku;2058855502;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | C 160 (205.044) (1595ccm\95kW\129HP) [04\15-11\19];3895;23-6871L;39
ST-ABB28890-3R;5504-00-3522932P;P držák nárazníku;2058855602;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | C 160 (205.044) (1595ccm\95kW\129HP) [04\15-11\19];3895;23-6871R;39
ST-ABB28890-4L;5504-00-3522933P;L držák nárazníku;2058855702;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | AMG C 43 4-matic (205.064) (2996ccm\287kW\390HP) [05\18-05\21];345;23-6872L;1
ST-ABB28890-4R;5504-00-3522934P;P držák nárazníku;2058855802;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | AMG C 43 4-matic (205.064) (2996ccm\287kW\390HP) [05\18-05\21];345;23-6872R;1
ST-ABB28890-L;6508-06-3521931P;L držák nárazníku;2058851914;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | AMG C 43 4-matic (205.064) (2996ccm\270kW\367HP) [04\16-05\18];172;23-7313L;1
ST-ABB28890-R;6508-06-3521932P;P držák nárazníku;2058852014;MERCEDES-BENZ | C-CLASS (W205) [07\13-02\23] | AMG C 43 4-matic (205.064) (2996ccm\270kW\367HP) [04\16-05\18];172;23-7313R;1
ST-ABB28910;5502-00-3531942P;přední držák nárazníku;2136201701;MERCEDES-BENZ | E-CLASS (W213) [01\16-] | E 180 (213.040) (1595ccm\115kW\156HP) [01\16-06\19];3541;BZ03010A;35
ST-ABB28910-1L;5502-00-3531947P;L držák nárazníku;2138852300;MERCEDES-BENZ | E-CLASS (W213) [01\16-] | AMG E 43 4-matic (213.064) (2996ccm\295kW\401HP) [07\16-05\18];3299;23-6835L;33
ST-ABB28910-1R;5502-00-3531948P;P držák nárazníku;2138852400;MERCEDES-BENZ | E-CLASS (W213) [01\16-] | E 180 (213.040) (1595ccm\115kW\156HP) [01\16-06\19];3038;23-6835R;30
ST-ABB28910-2L;5504-00-3531933P;L držák nárazníku;2138850521;MERCEDES-BENZ | E-CLASS (W213) [01\16-] | E 180 (213.040) (1595ccm\115kW\156HP) [01\16-06\19];2638;23-6839L;26
ST-ABB28910-2R;5504-00-3531934P;P držák nárazníku;2138850621;MERCEDES-BENZ | E-CLASS (W213) [01\16-] | E 180 (213.040) (1595ccm\115kW\156HP) [01\16-06\19];2638;23-6839R;26
ST-ABB28920-L;5504-00-3536931P;L držák nárazníku;1668852524;MERCEDES-BENZ | GLE (W166) [04\15-10\18] | 450 AMG 4-matic (166.064) (2996ccm\270kW\367HP) [10\15-10\18];113;23-7329L;1
ST-ABB28920-R;5504-00-3536932P;P držák nárazníku;1668852624;MERCEDES-BENZ | GLE (W166) [04\15-10\18] | 450 AMG 4-matic (166.064) (2996ccm\270kW\367HP) [10\15-10\18];113;23-7329R;1
ST-ABB28930-1L;6502-07-3533911P;L mřížka do nárazníku;2538853500;MERCEDES-BENZ | GLC (X253) [06\15-06\22] | AMG 43 4-matic (253.964) (2996ccm\270kW\367HP) [04\16-08\19];109;23-9772L;1
ST-ABB28930-1R;6502-07-3533912P;P mřížka do nárazníku;2538853600;MERCEDES-BENZ | GLC (X253) [06\15-06\22] | AMG 43 4-matic (253.964) (2996ccm\270kW\367HP) [04\16-08\19];109;23-9772R;1
ST-ABB28930-3L;5502-00-3534941P;L držák nárazníku;2538858903;MERCEDES-BENZ | GLC (X253) [06\15-06\22] | 200 d (253.913) (1950ccm\120kW\163HP) [04\19-06\22];2239;23-68A04L;22
ST-ABB28930-3R;5502-00-3534942P;P držák nárazníku;2538859103;MERCEDES-BENZ | GLC (X253) [06\15-06\22] | 200 d (253.913) (1950ccm\120kW\163HP) [04\19-06\22];1912;23-68A04R;15
ST-ABB29220-L;5504-00-4004931P;L přední držák nárazníku;51117390523;MINI | MINI COUNTRYMAN (F60) [10\16-] | Cooper (1499ccm\100kW\136HP) [10\16-];806;04-6801L;10
ST-ABB29220-R;5504-00-4004932P;P přední držák nárazníku;51117390524;MINI | MINI COUNTRYMAN (F60) [10\16-] | Cooper (1499ccm\100kW\136HP) [10\16-];806;04-6801R;10
ST-ABB32103;6508-06-5055930P;držák zadního nárazníku;9840170880;OPEL | ASTRA L (OV5) [10\21-] | 1.2 (FPHNPJ) (1199ccm\81kW\110HP) [10\21-];69;P2-AT22-W2;1
ST-ABB32103-L;5504-00-5055931P;L držák předního nárazníku;9839852180;OPEL | ASTRA L (OV5) [10\21-] | 1.2 (FPHNPJ) (1199ccm\81kW\110HP) [10\21-];69;PS-AT221;1
ST-ABB32103-R;5504-00-5055932P;P držák předního nárazníku;9839852080;OPEL | ASTRA L (OV5) [10\21-] | 1.2 (FPHNPJ) (1199ccm\81kW\110HP) [10\21-];69;PS-AT222;1
ST-ABB32230-5L;5504-00-5025931PP;L držák předního nárazníku;13399279;OPEL | CORSA E (X15) [09\14-] | 1.0 (08, 68) (999ccm\66kW\90HP) [09\14-];3864;OP0014-004AL;77
ST-ABB32230-5R;5504-00-5025932PP;P držák předního nárazníku;13399281;OPEL | CORSA E (X15) [09\14-] | 1.0 (08, 68) (999ccm\66kW\90HP) [09\14-];3864;OP0014-004AR;77
ST-ABB32920-1;5502-00-5054942P;držák předního nárazníku;39007657;OPEL | ASTRA K (B16) [06\15-12\22] | 1.0 Turbo (68) (999ccm\66kW\90HP) [06\18-12\22];7013;OP14A18A;168
ST-ABB32920-3L;5502-00-5054935P;L držák předního nárazníku;39086891;OPEL | ASTRA K (B16) [06\15-12\22] | 1.0 Turbo (68) (999ccm\66kW\90HP) [06\18-12\22];6748;ST-15422;162
ST-ABB32920-3R;5502-00-5054936P;P držák předního nárazníku;39086892;OPEL | ASTRA K (B16) [06\15-12\22] | 1.0 Turbo (68) (999ccm\66kW\90HP) [06\18-12\22];6748;ST-15421;162
ST-ABB32990-L;5504-00-5028933Q;L držák zadního nárazníku;9829543880;OPEL | CORSA F (P2JO) [07\19-] | 1.2 (68) (1199ccm\55kW\75HP) [07\19-];274;UOE08-28151;2
ST-ABB32990-R;5504-00-5028934Q;P držák zadního nárazníku;9829543780;OPEL | CORSA F (P2JO) [07\19-] | 1.2 (68) (1199ccm\55kW\75HP) [07\19-];274;PO-CS192;2
ST-ABB34650-1;6508-05-5547249P;držák předního nárazníku;98106346XT;PEUGEOT | 3008 II SUV (MC_, MR_, MJ_, M4_) [05\16-] | 1.2 THP/ PureTech 130 (MRHNSM, MRHNSU, MRHNSJ, MRHNYW,... (1199ccm\96kW\131HP) [05\16-];2062;P1-300817-W1;41
ST-ABB34710;5504-00-5517930Q;P+L sada držáků předního nárazníku;1668510780;PEUGEOT | 2008 II (UD_, US_, UY_, UJ_, UR_, UC_) [08\19-] | 1.2 PureTech 100 (USHNK) (1199ccm\74kW\101HP) [11\19-];88;PK-200819;1
ST-ABB34710-1;5502-00-5529943P;držák předního nárazníku;9825813580;PEUGEOT | 2008 II (UD_, US_, UY_, UJ_, UR_, UC_) [08\19-] | 1.2 PureTech 100 (USHNK) (1199ccm\74kW\101HP) [11\19-];88;PG020B-017AA;1
ST-ABB34720-2;5504-00-5521970P;držák zadního nárazníku;9836418080;PEUGEOT | 308 III (FB_, FH_, FP_, F3_, FM_) [07\21-] | BlueHDi 130 (FBYHZL, FBYHZT) (1499ccm\96kW\131HP) [07\21-];76;P2-30821-W2;1
ST-ABB34720-L;5504-00-5521931P;L držák předního nárazníku;9835304680;PEUGEOT | 308 III (FB_, FH_, FP_, F3_, FM_) [07\21-] | BlueHDi 130 (FBYHZL, FBYHZT) (1499ccm\96kW\131HP) [07\21-];127;PG310000U-0L00;1
ST-ABB34720-R;5504-00-5521932P;P držák předního nárazníku;9835304580;PEUGEOT | 308 III (FB_, FH_, FP_, F3_, FM_) [07\21-] | BlueHDi 130 (FBYHZL, FBYHZT) (1499ccm\96kW\131HP) [07\21-];127;PG310000U-0R00;1
ST-ABB34770;5502-00-0559941P;držák předního nárazníku;9808490780;CITROËN | JUMPY dodávka (V_) [04\16-] | 1.5 BlueHDi 100 (1499ccm\75kW\102HP) [06\18-];19729;PG0709-004AA;552
ST-ABB36101-4;5504-00-6001931P;P+L sada držáků předního nárazníku;625263867R;RENAULT | CLIO V (B7_) [06\19-] | 1.0 LPG (B7MT) (999ccm\74kW\101HP) [06\19-];390;PM-RC9;3
ST-ABB36106;5504-00-6015930P;P+L sada držáků předního nárazníku;622215446R;RENAULT | KANGOO III Skříňová/velkoprostorová limuzína [06\21-] | 1.3 TCe 100 (FJMA) (1332ccm\75kW\102HP) [06\21-];67;1465319;1
ST-ABB36107;5504-00-6066931P;P+L sada držáků předního nárazníku;620641349R;RENAULT | TRAFIC III bus (JG_) [05\14-] | 1.6 dCi 115 (JGMD) (1598ccm\85kW\116HP) [05\14-];2866;PS-RTF5;57
ST-ABB36107-1;5513-00-6066930P;P+L sada držáků mlhovek předního nárazníku;269B16091R;RENAULT | TRAFIC III bus (JG_) [05\14-] | 1.6 dCi 115 (JGMD) (1598ccm\85kW\116HP) [05\14-];2866;P1-RTF5-YT;57
ST-ABB36107-2;5510-00-6066929P;L držák předního nárazníku;628105100R;RENAULT | TRAFIC III bus (JG_) [05\14-] | 1.6 dCi 115 (JGMD) (1598ccm\85kW\116HP) [05\14-];2866;PL-RTF5;57
ST-ABB36770;5504-00-6063931P;P+L sada držáků předního nárazníku;4422936;NISSAN | NV300 combi (X82) [09\16-] | 1.6 dCi 125 (1598ccm\92kW\125HP) [09\16-];3294;100.17334;66
ST-ABB36870-3;5504-00-6034933P;P+L sada držáků předního nárazníku;269166557R;RENAULT | CLIO IV (BH_) [11\12-08\21] | 0.9 TCe 90 (BHNF, BHMA, BHMH, BHJK, BHJR) (898ccm\66kW\90HP) [11\12-08\21];13022;30-7005R/L;365
ST-ABB36880-2L;5510-00-6009921P;L držák předního nárazníku;628175066R;RENAULT | CAPTUR I (J5_, H5_) [06\13-] | 0.9 TCe 90 (898ccm\66kW\90HP) [06\13-];9887;PK-RCT13;237
ST-ABB36880-2R;5510-00-6009924P;P držák předního nárazníku;628108533R;RENAULT | CAPTUR I (J5_, H5_) [06\13-] | 0.9 TCe 90 (898ccm\66kW\90HP) [06\13-];9887;PK-RCT14;237
ST-ABB42101-L;6508-06-9579931P;L držák nárazníku;7E0807393A;VOLKSWAGEN | CALIFORNIA T6 Camper (SGC, SGG, SHC) [04\15-08\24] | 2.0 TDI (1968ccm\103kW\140HP) [04\15-12\19];8242;21-6803L;198
ST-ABB42101-R;6508-06-9579932P;P držák nárazníku;7E0807394A;VOLKSWAGEN | CALIFORNIA T6 Camper (SGC, SGG, SHC) [04\15-08\24] | 2.0 TDI (1968ccm\103kW\140HP) [04\15-12\19];8242;21-6803R;198
ST-ABB42105-4R;5503-05-9550961P;P držák nárazníku;5G0919494E;VOLKSWAGEN | GOLF VII (5G1, BQ1, BE1, BE2) [08\12-10\21] | 2.0 GTI (1984ccm\155kW\210HP) [11\13-07\17];4624;21-9401R;92
ST-ABB42105-L;5504-00-9550931P;L držák předního nárazníku;5G0807049B;VOLKSWAGEN | GOLF VII (5G1, BQ1, BE1, BE2) [08\12-10\21] | 1.0 TSI (999ccm\63kW\86HP) [01\17-07\19];31066;0950312;870
ST-ABB42105-R;5504-00-9550932P;P držák předního nárazníku;5G0807050B;VOLKSWAGEN | GOLF VII (5G1, BQ1, BE1, BE2) [08\12-10\21] | 1.0 TSI (999ccm\63kW\86HP) [01\17-07\19];31066;0950311;870
ST-ABB42109;5504-00-9572930P;držák nárazníku;5H0807963B;VOLKSWAGEN | GOLF VIII (CD1, DA1) [07\19-] | 2.0 GTI (1984ccm\180kW\245HP) [08\20-];128;21-6809;1
ST-ABB42109-2;5503-05-9572962P;držák parkovacího senzoru;5H0919491A;VOLKSWAGEN | GOLF VIII (CD1, DA1) [07\19-] | 1.0 eTSI (999ccm\81kW\110HP) [06\20-];1105;21-9403;18
ST-ABB42109-2L;5503-05-9572961P;L držák nárazníku;5H0919491;VOLKSWAGEN | GOLF VIII (CD1, DA1) [07\19-] | 1.0 eTSI (999ccm\81kW\110HP) [06\20-];1105;21-9402L;18
ST-ABB42109-2R;5503-05-9572960P;P držák nárazníku;5H0919492;VOLKSWAGEN | GOLF VIII (CD1, DA1) [07\19-] | 1.0 eTSI (999ccm\81kW\110HP) [06\20-];1105;21-9402R;18
ST-ABB42114-1L;6502-07-9597931P;L držák nárazníku;2GM807049B;VOLKSWAGEN | T-CROSS (C11, D31) [12\18-] | 1.0 TSi (999ccm\70kW\95HP) [12\18-];513;21-6806L;8
ST-ABB42114-1R;6502-07-9597932P;P držák nárazníku;2GM807050B;VOLKSWAGEN | T-CROSS (C11, D31) [12\18-] | 1.0 TSi (999ccm\70kW\95HP) [12\18-];513;21-6806R;8
ST-ABB42310-1L;5504-00-9565931P;L držák nárazníku;7C0807177;MAN | TGE bus [02\17-] | 2.0 TDI (1968ccm\103kW\140HP) [02\17-];1404;21-6804L;17
ST-ABB42310-1R;5504-00-9565932P;P držák nárazníku;7C0807178;MAN | TGE bus [02\17-] | 2.0 TDI (1968ccm\103kW\140HP) [02\17-];1404;21-6804R;17
ST-ABB42900-2L;5504-00-9508931P;L držák předního nárazníku;2G0807183;VOLKSWAGEN | POLO VI (AW1, BZ1, AE1) [06\17-] | 1.0 (999ccm\48kW\65HP) [08\17-02\20];2026;VG392000U-0L00;41
